"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
8 Jul 2014 16:30:19.238,8 Jul 2014 17:05:32.015,2112.777
8 Jul 2014 17:05:32.015,8 Jul 2014 17:05:40.555,8.541
8 Jul 2014 18:07:20.242,8 Jul 2014 18:07:28.801,8.559
8 Jul 2014 18:07:28.801,8 Jul 2014 18:42:41.579,2112.778
8 Jul 2014 18:42:41.579,8 Jul 2014 18:42:50.120,8.540
8 Jul 2014 19:44:29.804,8 Jul 2014 19:44:38.364,8.560
8 Jul 2014 19:44:38.364,8 Jul 2014 20:19:51.144,2112.779
8 Jul 2014 20:19:51.144,8 Jul 2014 20:19:59.684,8.540
8 Jul 2014 21:21:39.368,8 Jul 2014 21:21:47.928,8.560
8 Jul 2014 21:21:47.928,8 Jul 2014 21:57:00.708,2112.780
8 Jul 2014 21:57:00.708,8 Jul 2014 21:57:09.248,8.540
8 Jul 2014 22:58:48.931,8 Jul 2014 22:58:57.491,8.560
8 Jul 2014 22:58:57.491,8 Jul 2014 23:34:10.273,2112.781
8 Jul 2014 23:34:10.273,8 Jul 2014 23:34:18.813,8.540
9 Jul 2014 00:35:58.494,9 Jul 2014 00:36:07.054,8.560
9 Jul 2014 00:36:07.054,9 Jul 2014 01:11:19.837,2112.783
9 Jul 2014 01:11:19.837,9 Jul 2014 01:11:28.377,8.540
9 Jul 2014 02:13:08.057,9 Jul 2014 02:13:16.618,8.560
9 Jul 2014 02:13:16.618,9 Jul 2014 02:48:29.401,2112.784
9 Jul 2014 02:48:29.401,9 Jul 2014 02:48:37.942,8.540
9 Jul 2014 03:50:17.621,9 Jul 2014 03:50:26.182,8.561
9 Jul 2014 03:50:26.182,9 Jul 2014 04:25:38.966,2112.784
9 Jul 2014 04:25:38.966,9 Jul 2014 04:25:47.506,8.540
9 Jul 2014 05:27:27.184,9 Jul 2014 05:27:35.745,8.561
9 Jul 2014 05:27:35.745,9 Jul 2014 06:02:48.530,2112.785
9 Jul 2014 06:02:48.530,9 Jul 2014 06:02:57.070,8.540
9 Jul 2014 07:04:36.747,9 Jul 2014 07:04:45.309,8.561
9 Jul 2014 07:04:45.309,9 Jul 2014 07:39:58.095,2112.786
9 Jul 2014 07:39:58.095,9 Jul 2014 07:40:06.635,8.540
9 Jul 2014 08:41:46.311,9 Jul 2014 08:41:54.870,8.559
9 Jul 2014 08:41:54.870,9 Jul 2014 09:17:07.659,2112.789
9 Jul 2014 09:17:07.659,9 Jul 2014 09:17:16.199,8.540
9 Jul 2014 10:18:55.875,9 Jul 2014 10:19:04.433,8.558
9 Jul 2014 10:19:04.433,9 Jul 2014 10:54:17.223,2112.790
9 Jul 2014 10:54:17.223,9 Jul 2014 10:54:25.763,8.540
9 Jul 2014 11:56:05.438,9 Jul 2014 11:56:13.996,8.558
9 Jul 2014 11:56:13.996,9 Jul 2014 12:31:26.788,2112.792
9 Jul 2014 12:31:26.788,9 Jul 2014 12:31:35.328,8.540
9 Jul 2014 13:33:14.999,9 Jul 2014 13:33:23.559,8.560
9 Jul 2014 13:33:23.559,9 Jul 2014 14:08:36.352,2112.793
9 Jul 2014 14:08:36.352,9 Jul 2014 14:08:44.892,8.540
9 Jul 2014 15:10:24.562,9 Jul 2014 15:10:33.123,8.560
9 Jul 2014 15:10:33.123,9 Jul 2014 15:45:45.917,2112.794
9 Jul 2014 15:45:45.917,9 Jul 2014 15:45:54.456,8.540
9 Jul 2014 16:47:34.128,9 Jul 2014 16:47:42.689,8.562
9 Jul 2014 16:47:42.689,9 Jul 2014 17:22:55.481,2112.791
9 Jul 2014 17:22:55.481,9 Jul 2014 17:23:04.020,8.540
9 Jul 2014 18:24:43.691,9 Jul 2014 18:24:52.253,8.562
9 Jul 2014 18:24:52.253,9 Jul 2014 19:00:05.045,2112.793
9 Jul 2014 19:00:05.045,9 Jul 2014 19:00:13.585,8.540
9 Jul 2014 20:01:53.254,9 Jul 2014 20:02:01.813,8.559
9 Jul 2014 20:02:01.813,9 Jul 2014 20:37:14.610,2112.797
9 Jul 2014 20:37:14.610,9 Jul 2014 20:37:23.149,8.539
9 Jul 2014 21:39:02.817,9 Jul 2014 21:39:11.379,8.562
9 Jul 2014 21:39:11.379,9 Jul 2014 22:14:24.174,2112.795
9 Jul 2014 22:14:24.174,9 Jul 2014 22:14:32.713,8.539
9 Jul 2014 23:16:12.382,9 Jul 2014 23:16:20.939,8.558
9 Jul 2014 23:16:20.939,9 Jul 2014 23:51:33.738,2112.799
9 Jul 2014 23:51:33.738,9 Jul 2014 23:51:42.278,8.539
10 Jul 2014 00:53:21.942,10 Jul 2014 00:53:30.502,8.560
10 Jul 2014 00:53:30.502,10 Jul 2014 01:28:43.303,2112.800
10 Jul 2014 01:28:43.303,10 Jul 2014 01:28:51.842,8.539
10 Jul 2014 02:30:31.508,10 Jul 2014 02:30:40.065,8.557
10 Jul 2014 02:30:40.065,10 Jul 2014 03:05:52.867,2112.801
10 Jul 2014 03:05:52.867,10 Jul 2014 03:06:01.406,8.539
10 Jul 2014 04:07:41.071,10 Jul 2014 04:07:49.629,8.557
10 Jul 2014 04:07:49.629,10 Jul 2014 04:43:02.431,2112.803
10 Jul 2014 04:43:02.431,10 Jul 2014 04:43:10.970,8.539
10 Jul 2014 05:44:50.634,10 Jul 2014 05:44:59.195,8.561
10 Jul 2014 05:44:59.195,10 Jul 2014 06:20:11.995,2112.800
10 Jul 2014 06:20:11.995,10 Jul 2014 06:20:20.534,8.539
10 Jul 2014 07:22:00.198,10 Jul 2014 07:22:08.755,8.557
10 Jul 2014 07:22:08.755,10 Jul 2014 07:57:21.560,2112.805
10 Jul 2014 07:57:21.560,10 Jul 2014 07:57:30.099,8.539
10 Jul 2014 08:59:09.758,10 Jul 2014 08:59:18.318,8.560
10 Jul 2014 08:59:18.318,10 Jul 2014 09:34:31.124,2112.806
10 Jul 2014 09:34:31.124,10 Jul 2014 09:34:39.663,8.539
10 Jul 2014 10:36:19.321,10 Jul 2014 10:36:27.881,8.560
10 Jul 2014 10:36:27.881,10 Jul 2014 11:11:40.688,2112.807
10 Jul 2014 11:11:40.688,10 Jul 2014 11:11:49.227,8.539
10 Jul 2014 12:13:28.884,10 Jul 2014 12:13:37.444,8.560
10 Jul 2014 12:13:37.444,10 Jul 2014 12:48:50.252,2112.809
10 Jul 2014 12:48:50.252,10 Jul 2014 12:48:58.791,8.539
10 Jul 2014 13:50:38.447,10 Jul 2014 13:50:47.007,8.560
10 Jul 2014 13:50:47.007,10 Jul 2014 14:25:59.817,2112.810
10 Jul 2014 14:25:59.817,10 Jul 2014 14:26:08.355,8.539
10 Jul 2014 15:27:48.010,10 Jul 2014 15:27:56.570,8.560
10 Jul 2014 15:27:56.570,10 Jul 2014 16:03:09.381,2112.811
10 Jul 2014 16:03:09.381,10 Jul 2014 16:03:17.920,8.539
10 Jul 2014 17:04:57.573,10 Jul 2014 17:05:06.133,8.560
10 Jul 2014 17:05:06.133,10 Jul 2014 17:40:18.945,2112.812
10 Jul 2014 17:40:18.945,10 Jul 2014 17:40:27.484,8.539
10 Jul 2014 18:42:07.136,10 Jul 2014 18:42:15.696,8.560
10 Jul 2014 18:42:15.696,10 Jul 2014 19:17:28.509,2112.814
10 Jul 2014 19:17:28.509,10 Jul 2014 19:17:37.048,8.539
10 Jul 2014 20:19:16.699,10 Jul 2014 20:19:25.259,8.560
10 Jul 2014 20:19:25.259,10 Jul 2014 20:54:38.074,2112.815
10 Jul 2014 20:54:38.074,10 Jul 2014 20:54:46.612,8.538
10 Jul 2014 21:56:26.262,10 Jul 2014 21:56:34.822,8.560
10 Jul 2014 21:56:34.822,10 Jul 2014 22:31:47.638,2112.816
10 Jul 2014 22:31:47.638,10 Jul 2014 22:31:56.176,8.538
10 Jul 2014 23:33:35.827,10 Jul 2014 23:33:44.385,8.558
10 Jul 2014 23:33:44.385,11 Jul 2014 00:08:57.202,2112.817
11 Jul 2014 00:08:57.202,11 Jul 2014 00:09:05.740,8.538
11 Jul 2014 01:10:45.388,11 Jul 2014 01:10:53.948,8.560
11 Jul 2014 01:10:53.948,11 Jul 2014 01:46:06.766,2112.819
11 Jul 2014 01:46:06.766,11 Jul 2014 01:46:15.305,8.538
11 Jul 2014 02:47:54.950,11 Jul 2014 02:48:03.511,8.560
11 Jul 2014 02:48:03.511,11 Jul 2014 03:23:16.330,2112.820
11 Jul 2014 03:23:16.330,11 Jul 2014 03:23:24.869,8.538
11 Jul 2014 04:25:04.513,11 Jul 2014 04:25:13.073,8.560
11 Jul 2014 04:25:13.073,11 Jul 2014 05:00:25.895,2112.821
11 Jul 2014 05:00:25.895,11 Jul 2014 05:00:34.433,8.538
